,0
0,1.516964891184868
14,1.5049634283738231
28,1.5101193670759951
42,1.502145990000863
56,
70,
84,1.5064953620259594
98,1.4989000305230535
112,1.5006738846905758
126,1.491877860208323
140,1.4988644473590478
154,1.50424566630365
168,1.496023089812033
182,
196,1.5004076664716182
210,1.5024530897446107
224,1.4993818369378484
238,1.4851409211094155
252,1.4933856595972337
266,1.4901182526665595
280,1.498732175304208
294,1.4866702409252683
308,1.4921494931797892
322,1.4917670470006723
336,1.505444694915623
350,1.4909691569166554
364,1.4980477425647216
378,1.517588077398643
392,1.4971082834333305
406,
420,
434,1.5084476604150405
448,1.502267269531171
462,1.499233975670736
476,1.4975089529885082
490,1.5005274596678344
504,1.4939334931724464
518,1.5001818188427478
532,1.5017843154782766
546,
560,1.4975627441097443
574,1.506654931742147
588,1.4915569497305032
602,1.4946776187231416
616,1.5067814350873199
630,1.4975627261665523
644,1.4963778115570978
658,1.495089990381232
672,1.4922716913792562
686,1.5054395228852375
700,1.4985198303737806
714,1.4960689478462044
728,1.5055166360800534
742,1.4889068915587413
756,
770,
784,
798,1.4954822633872242
812,1.4963453183588218
826,1.503685909497504
840,1.5109984980498112
854,1.5074719886756205
868,1.4984062197155554
882,1.494333330842055
896,1.5011318814679848
910,1.502890946231736
924,1.4900111628373847
938,1.4884074286653037
952,1.4941546233692027
966,1.5077509267768343
980,1.4942590078601534
994,1.501894135643177
1008,
1022,1.498017036315815
1036,1.503489883141333
1050,1.490999222059975
1064,1.4918367994325117
1078,1.5031315376787042
1092,1.5027355289563382
