,0
0,1.5061408249490142
14,1.497898418783712
28,1.519064314874198
42,1.4997335540517922
56,
70,
84,1.498220944085444
98,1.514486639564699
112,1.5004296701618365
126,1.4957661417066193
140,1.5026601582437624
154,1.4879283309540756
168,1.4944365096369192
182,
196,1.4915737029760425
210,1.4990515644105578
224,1.4909025727543994
238,1.4769741228012758
252,1.4920531109006865
266,1.507034087922176
280,1.505348635738366
294,1.5065473765882953
308,1.5108505837687005
322,1.4980194452315942
336,1.5035307461879757
350,1.5184708953424095
364,1.49653140828393
378,1.497319148196959
392,1.5006682351585927
406,
420,
434,1.4963206893984542
448,1.4974062915103066
462,1.5079226503764096
476,1.5091362456521347
490,1.4930334261688891
504,1.5169876691047939
518,1.489865685281433
532,1.505270022253015
546,
560,1.5134539387358468
574,1.4959486330380518
588,1.4899145923777617
602,1.497761475125559
616,1.5005812546873603
630,1.4961728339595723
644,1.5057505939083489
658,1.491914137611454
672,1.491544283581272
686,1.502574573237871
700,1.5071713217002891
714,1.501207276553665
728,1.4922665825558732
742,1.4951008465923508
756,
770,
784,
798,1.5026638211580146
812,1.498113192176306
826,1.4953664852625967
840,1.4926633015468491
854,1.4928895496805283
868,1.4995096082227932
882,1.502367396634502
896,1.4945827975084816
910,1.4862174590768817
924,1.4921539516493656
938,1.499822945026322
952,1.4972573500765605
966,1.5163451818829559
980,1.5052196345239144
994,1.5001983018818097
1008,
1022,1.499928450802917
1036,1.502084472677315
1050,1.4857447773312769
1064,1.4960813488377545
1078,1.507234758184343
1092,1.4956274057550287
