,0
0,1.5146022133592438
14,1.4991446864839297
28,1.510991219286909
42,1.4931005939505684
56,
70,
84,1.4998963569040045
98,1.4980771776484405
112,1.5029790113117805
126,1.4968150071032502
140,1.5111501787065797
154,1.5066083350513564
168,1.4847886926896074
182,
196,1.484489758436179
210,1.4988728537036682
224,1.5017675135818147
238,1.488606978858213
252,1.4915589509265477
266,1.5039376893291228
280,1.5135634508788423
294,1.5021776303392247
308,1.4916078266302226
322,1.5037808937197303
336,1.4955364634213058
350,1.5079237145412205
364,1.506770706431778
378,1.5170837991587462
392,1.5002962201515249
406,
420,
434,1.5008635306230729
448,1.5079722305096848
462,1.5131700531136807
476,1.5002523552818277
490,1.4945496270305036
504,1.5025793261783789
518,1.5079518787538984
532,1.4997234525514058
546,
560,1.4941375029084425
574,1.501767481314877
588,1.5118971965326042
602,1.5047914433587741
616,1.5159404958435454
630,1.4897113207998423
644,1.4948639616289612
658,1.5033551694365945
672,1.4964991750287726
686,1.509757654499503
700,1.4922875423725777
714,1.4964578400580466
728,1.49940483912848
742,1.497961303399878
756,
770,
784,
798,1.4973414514886654
812,1.5039550641643327
826,1.5015115788832856
840,1.4966654637184602
854,1.4941121255222967
868,1.4963577270363404
882,1.4984479713449679
896,1.498500441756485
910,1.4958273205417654
924,1.4935024270793473
938,1.4946916808051807
952,1.500232488517683
966,1.5106430040400454
980,1.5032810194613873
994,1.5084874706492157
1008,
1022,1.5021328464158223
1036,1.4970016944239672
1050,1.4879121748263502
1064,1.4971544158160794
1078,1.4980888667901378
1092,1.5035526224022668
