,0
0,1.5064353675673718
14,1.501538414539674
28,1.5107296465627504
42,1.4995175376938565
56,
70,
84,1.5180284034226998
98,1.4979483992067237
112,1.496968482647688
126,1.5043043816452468
140,1.5100453892943921
154,1.5101960783261368
168,1.4973642406381957
182,
196,1.4964811884518927
210,1.500976655165418
224,1.497665004457215
238,1.4938552192893337
252,1.4924733749836163
266,1.5030627739424838
280,1.499493399563723
294,1.5050209160425922
308,1.497371570782347
322,1.502558276515637
336,1.5135776869287725
350,1.4976485575564509
364,1.4962405735193607
378,1.503642412588657
392,1.5028320710471748
406,
420,
434,1.5020604873850762
448,1.507710829550404
462,1.4983654831670337
476,1.5043521200931629
490,1.4940463224957679
504,1.496412684661017
518,1.502843282563867
532,1.501797907992234
546,
560,1.5061445136963878
574,1.502174858493021
588,1.4968391470674958
602,1.4946111259080854
616,1.5006955857051356
630,1.501616507184126
644,1.5012830430527722
658,1.498591674349039
672,1.4910405659270343
686,1.5027555918093534
700,1.4968455273121772
714,1.4991376480382677
728,1.4913514663583227
742,1.5061192955258043
756,
770,
784,
798,1.5028301576141514
812,1.5053092520637221
826,1.5043870582586831
840,1.4927660671805112
854,1.5142328055265577
868,1.501625673408756
882,1.4935893856412508
896,1.4959249800218493
910,1.4910984837992636
924,1.4905500025310718
938,1.502999221942838
952,1.4955842527892538
966,1.4954762018116745
980,1.4936747161854251
994,1.5071118581000287
1008,
1022,1.499317833280051
1036,1.499956758668908
1050,1.4868904314110518
1064,1.500197892931088
1078,1.5013854303662237
1092,1.494619864366006
