,0
0,1.5092652384034428
14,1.505674684331797
28,1.5289651096605792
42,1.5078853611779448
56,
70,
84,1.504134068891881
98,1.5022886556270625
112,1.5004999775505117
126,1.4958033871048764
140,1.5079051264100474
154,1.5017092089801065
168,1.490207802494091
182,
196,1.4988346059457942
210,1.493147447662918
224,1.4948033833503884
238,1.4847956665769377
252,1.4901837774309803
266,1.4948879422686943
280,1.4942266167027203
294,1.50388407611275
308,1.4812787881758633
322,1.4963672631344387
336,1.5033782975241885
350,1.4982307382867694
364,1.5044461612588396
378,1.5048789491702763
392,1.5048290752475064
406,
420,
434,1.5113532433504369
448,1.509489661247775
462,1.5110953941676895
476,1.4964889101589163
490,1.498600742178997
504,1.499818405053962
518,1.5057472786336608
532,1.5003648631669875
546,
560,1.4967686029719238
574,1.5018784070008386
588,1.5061184457618877
602,1.4962880876683788
616,1.5049108803639761
630,1.499210056206659
644,1.498669104036044
658,1.4882462646919372
672,1.494704582269291
686,1.507265212926946
700,1.4963296357234026
714,1.4999498600989443
728,1.499427348340639
742,1.5054162122904327
756,
770,
784,
798,1.4866266347119097
812,1.4966632430388132
826,1.5027692478307795
840,1.5198975681440483
854,1.499845236138309
868,1.496342748440753
882,
896,1.5022269257320668
910,1.4881765244370984
924,1.4962008351449063
938,1.4981997701547802
952,1.5065813615574914
966,1.5021141205342843
980,1.5017451244869378
994,1.504809644161299
1008,
1022,1.4991198659984724
1036,1.5142647299881478
1050,1.4923190725618498
1064,1.4829136315841471
1078,1.5013808448021708
1092,1.511114527745032
