,0
0,1.5067889406851027
14,1.5145904886127315
28,1.508759996470925
42,1.4989366302996785
56,
70,
84,1.4981252445576965
98,1.508669561731922
112,1.4938652095319982
126,1.500182162230248
140,1.5031154228860044
154,1.4978909023691156
168,1.5010949200908044
182,
196,1.5034687959628303
210,1.4984927105008454
224,1.5027813005445614
238,1.486407906584417
252,1.4862126640730464
266,1.5067479564024762
280,1.4990549662947816
294,1.5112122692286505
308,1.4879340731519555
322,1.495498883124891
336,1.4990980286160442
350,1.5030221675245852
364,1.5080713412127247
378,1.5050705961572957
392,1.5069622488936332
406,
420,
434,1.492344353817854
448,1.5150604706790853
462,1.5016045729363612
476,1.5021949292921661
490,1.5058725469452179
504,1.5014596881427302
518,1.494967874478412
532,1.5060965989155515
546,
560,1.4998019137033163
574,1.4986484664784534
588,1.515869176759735
602,1.4957455736283936
616,1.4985874818854092
630,1.5069014996413217
644,1.4928722314191067
658,1.4946043765531625
672,1.5104680433675355
686,1.4982956135032892
700,1.5005476769263104
714,1.4924430266173072
728,1.4975657336214698
742,1.5069604697234322
756,
770,
784,
798,1.488452516088223
812,1.5146486767879686
826,1.5025101775228222
840,1.5054751452328228
854,1.4949255620570019
868,1.4943572804457588
882,1.5017629699664967
896,1.5049151906625584
910,1.5004722197776363
924,1.4881989204159811
938,1.4883626678022417
952,1.4997444932844404
966,1.511003432856562
980,1.5064916476515684
994,1.4997671052811359
1008,
1022,1.502638453346437
1036,1.4982788913768976
1050,1.4988918696184195
1064,1.4912268572225826
1078,1.5076130764289568
1092,1.503339885794585
