,0
0,1.5020876716834646
14,1.5153974507837573
28,1.5055745494094286
42,1.5052266866301323
56,
70,
84,1.50206702223696
98,1.5067614337298594
112,1.5055617429659078
126,1.4952532109897239
140,1.5018918680724698
154,1.5138457598471202
168,1.4948493256782411
182,
196,1.5016506483843888
210,1.495522357496658
224,1.491853758144234
238,1.492585245591605
252,1.502126298716103
266,1.4930366662663748
280,1.5128665740671263
294,1.5067297043162173
308,1.5033038461897954
322,1.4968929922606249
336,1.5007038268157218
350,1.499264546317372
364,1.4997543140310594
378,1.5110596066310424
392,1.4963881745211214
406,
420,
434,1.49730795047107
448,1.501256345062903
462,1.5041213733577945
476,1.4999691097624477
490,1.4944825557766466
504,1.5066445107003168
518,1.5006240345262676
532,1.496283607553104
546,
560,1.495518575917891
574,1.5033596999866317
588,1.4882191628338326
602,1.4989017636095496
616,1.5090604150230331
630,1.4921592845399523
644,1.4978464302793726
658,1.4972338226692878
672,1.4969140269821175
686,1.5043355364203654
700,1.4975337189555706
714,1.5065501271223674
728,1.5054573420760957
742,1.4926792061251788
756,
770,
784,
798,1.4904361224269056
812,1.491625546781678
826,1.5074834295324255
840,1.5083071706940274
854,1.4932152193104755
868,1.4973947925037083
882,1.479834221583619
896,1.4939254733106424
910,1.485288289268554
924,1.4889220081281778
938,1.4925663090487487
952,1.50852236962092
966,1.4992842161208702
980,1.5011934006000272
994,1.5007518532860946
1008,
1022,1.495779434877217
1036,1.4991070435352485
1050,1.4887184006117462
1064,1.4935435637589543
1078,1.4940031668134992
1092,1.5068018647022958
