,0
0,1.5020589249893022
14,1.5081566545689855
28,1.5129479748088295
42,1.5143798759957516
56,
70,
84,1.5072185141335028
98,1.4970406765630853
112,1.5101390466986218
126,1.4996555398464855
140,1.4961125873181125
154,1.4996014450731046
168,1.4945037244722894
182,
196,1.4987552873168664
210,1.498534615884407
224,1.494599094781334
238,1.4796662824931293
252,1.4898217578293018
266,1.4896113342964197
280,1.5083003176764838
294,1.4961694316596912
308,1.4938357533793882
322,1.495463524460067
336,1.5118125966052387
350,1.5141827344359562
364,1.5048783066173854
378,1.5123796605028852
392,1.5103450136695966
406,
420,
434,1.496087444900686
448,1.5094040827797062
462,1.4990777965508981
476,1.5007760179508618
490,1.4990055655377617
504,1.5037490991727225
518,1.4964494333613472
532,1.5021560205719253
546,
560,1.5057046985840643
574,1.5063594371826943
588,1.4919761861180325
602,1.5053507298504931
616,1.5002162976371165
630,1.485747195849003
644,1.510480147189918
658,1.4970819434573415
672,1.5009915649434806
686,1.5077892920981035
700,1.499989557983664
714,1.5027432966441419
728,1.500204720609284
742,1.5044968014957167
756,
770,
784,
798,1.487673376823803
812,1.5011250399674114
826,1.5056906496392484
840,1.5138776749722322
854,1.49146263654024
868,1.49272172123548
882,1.506456185164136
896,1.497956283526381
910,1.4875620708920225
924,1.4954703886341112
938,1.4937740026062194
952,1.4930952254560894
966,1.5004036726084302
980,1.505412153955661
994,1.5049303628441093
1008,
1022,1.499075163206089
1036,1.5027031149627885
1050,1.4975768046914961
1064,1.4837803067801982
1078,1.5055234755110904
1092,1.5045986660739847
