,0
0,1.508468384845662
14,1.5107219651869663
28,1.5092832114301502
42,1.4983191036133572
56,
70,
84,1.4987165323749472
98,1.5043840058713385
112,1.4953989127072325
126,1.4996849245060258
140,1.5018306577707543
154,1.4972169253770462
168,1.4914948199673472
182,
196,1.4953313269372073
210,1.5016399548097985
224,1.4918423579985205
238,1.47598311473319
252,1.4921796836725145
266,1.5094299348365114
280,1.495459528040779
294,1.4940359389491682
308,1.4923852172935523
322,1.5023187398592244
336,1.5020480157692988
350,1.5016576785864166
364,1.5108943502092878
378,1.505969197015438
392,1.5022761929501218
406,
420,
434,1.5146113111752666
448,1.497538296385874
462,1.5049788327476445
476,1.5053240715065082
490,1.497958410455072
504,1.510155528675133
518,1.5087143464869122
532,1.50774015983605
546,
560,1.5037732407679332
574,1.501198892376441
588,1.5050322124639401
602,1.4931802470388886
616,1.5070662508463004
630,1.5058650683810961
644,1.5040539851911876
658,1.4900782154782442
672,1.5080660958014516
686,1.5086703645306445
700,1.5030778634390334
714,1.500785036618739
728,1.504698444366296
742,1.4997201818945471
756,
770,
784,
798,1.5091519159418472
812,1.5061011631301506
826,1.5098591252041127
840,1.4944741881719332
854,1.4985576592776615
868,1.4999862333272016
882,1.489676975318578
896,1.4952355747114963
910,1.498634843603744
924,1.5043310979489721
938,1.5000479881503956
952,1.4935900969286695
966,1.5091824235315914
980,1.4962291552026976
994,1.5069689108743074
1008,
1022,1.5047137376988278
1036,1.4928072907503178
1050,1.497170938691486
1064,1.4913144732442185
1078,1.5047890683376632
1092,1.5094412036147253
