,0
0,1.5097795256273057
14,1.5216195955797323
28,1.504244272763923
42,1.5171095398136683
56,
70,
84,1.4996234188927395
98,1.4945687556293403
112,1.4988918014560784
126,1.4966546735627992
140,1.5044590476211976
154,1.5097408540014166
168,1.5027361980055174
182,
196,1.5046315219535675
210,1.4940503015752984
224,1.503509713265083
238,1.47930231111796
252,1.4864011761595002
266,1.4950919663443656
280,1.5102935602323933
294,1.5112836958058042
308,1.4940745740675558
322,1.4902507125924798
336,1.5051521647793755
350,1.4993278122407336
364,1.4965649572583795
378,1.5055405396625092
392,1.5014318224901497
406,
420,
434,1.5006817940153847
448,1.5025151932662981
462,1.5002668213622963
476,1.5039050541932986
490,1.497427260782732
504,1.504790367847179
518,1.514542488363203
532,1.5081334560549597
546,
560,1.5042582704474203
574,1.501485002106159
588,1.5112152637161231
602,1.4926101646370598
616,1.517293334476331
630,1.4992925894379312
644,1.4976530622913369
658,1.4918335956160813
672,1.4998162130454449
686,1.5045970292642823
700,1.4973189483731115
714,1.4899205895164318
728,1.5099885257561347
742,1.4991764638094822
756,
770,
784,
798,1.4832405296755575
812,1.5010679558875872
826,1.5055438978723386
840,1.498821367908442
854,1.4918796956570686
868,1.5053864492948552
882,1.4997380546669534
896,1.495358347474803
910,1.493415108726285
924,1.515343187089975
938,1.4920774500745062
952,1.4996522230201952
966,1.509740278829294
980,1.5028981951302665
994,1.4997696148211368
1008,
1022,1.4897697017003098
1036,1.4908880860510927
1050,1.4954189585196656
1064,1.4832882087744799
1078,1.5077189690522834
1092,1.4921183133110372
