,0
0,1.5071427950585987
14,1.5041866553308056
28,1.5098328566045673
42,1.5077542443176233
56,
70,
84,1.5053826526811604
98,1.5171468142771551
112,1.4918537043373747
126,1.4972010618682456
140,1.4970974417785525
154,1.5093738492130437
168,1.5049807940137787
182,
196,1.495541255596666
210,1.4891517634340912
224,1.4902702020386867
238,1.485589232586732
252,1.4941982558826201
266,1.500787053054988
280,1.5070823205970507
294,1.496295196940251
308,1.4921717020988217
322,1.516901818532215
336,1.5074087133226042
350,1.5025046929748394
364,1.4974290738215814
378,1.5041363429809123
392,1.504296912403544
406,
420,
434,1.5043834409305172
448,1.5129426835740643
462,1.5006979417839605
476,1.498564135075065
490,1.4965337620157269
504,1.5064944451081723
518,1.5024123160345466
532,1.5047835458102916
546,
560,1.4990160109680457
574,1.5119403694683313
588,1.4965853392009563
602,1.4858136875868346
616,1.508669381271636
630,1.5030747795470827
644,1.4950701780978475
658,1.491942039033372
672,1.492072128813546
686,1.5023923120521945
700,1.5015194379670895
714,1.5001365803593167
728,1.5049054555359171
742,1.5003561827977487
756,
770,
784,
798,1.4995409760950131
812,1.4978255252893806
826,1.511335871659998
840,1.5058239114159526
854,1.4860874516297526
868,1.5026357271376016
882,1.5034082500594226
896,1.5018327074235471
910,1.497104480122924
924,1.4968486782429704
938,1.4969308496740086
952,1.503092676743251
966,1.4973967201207368
980,1.494956652258186
994,1.5101295188671913
1008,
1022,1.5033289878834781
1036,1.500098571503436
1050,1.4966971136669873
1064,1.4916571712896491
1078,1.4943406697914448
1092,1.49825770573757
