,0
0,1.512234305048532
14,1.5082487272946818
28,1.520597597113925
42,1.516938711671485
56,
70,
84,1.5111545002890088
98,1.5026424924464987
112,1.4954728686195746
126,1.5033233294552806
140,1.5035724773647066
154,1.5000680724481248
168,1.5016804779005881
182,
196,1.4929931034375
210,1.496263148575644
224,1.4969744781381291
238,1.4889988531065175
252,1.497636541788406
266,1.5046748546455682
280,1.4935395098229085
294,1.5032966718241507
308,1.493684018406883
322,1.4950538571733258
336,1.5031646252516826
350,1.5116255700639658
364,1.495764242844206
378,1.510365230008024
392,1.4994722764109785
406,
420,
434,1.498301427547073
448,1.5104037582323036
462,1.5078342651232886
476,1.5143302216871448
490,1.5013544861054788
504,1.5010376923309838
518,1.4897209202278499
532,1.5068556326320588
546,
560,1.4964412506656766
574,1.4976793046183454
588,1.4981722130386887
602,1.4964861153181541
616,1.504798237206779
630,1.496033727042346
644,1.5043006395326715
658,1.4907897263722365
672,1.5007865588822114
686,1.5106818343900255
700,1.500945784684862
714,1.4955131244678828
728,1.498560374533726
742,1.500560892591869
756,
770,
784,
798,1.5061687652950204
812,1.5063892996212322
826,1.4998199486528472
840,1.5086364826878411
854,1.4949616781877504
868,1.49740240452376
882,1.5039274617902907
896,1.496821652844077
910,1.508569568442149
924,1.5023824886899286
938,1.5013903829623108
952,1.5127746534330402
966,1.5125738579747237
980,1.5028450391386778
994,1.50102018021684
1008,
1022,1.491095094188452
1036,1.4973680476201265
1050,1.4927731675073936
1064,1.4882542224253084
1078,1.4989789982648585
1092,1.5064299726345511
