,0
0,1.5094199707938587
14,1.509240363985276
28,1.5131383132365679
42,1.500755140212446
56,
70,
84,1.5082560219323016
98,1.5061717662117216
112,1.4981138719621314
126,1.4914358168980735
140,1.506824125242685
154,1.496398306052291
168,1.4886574262901937
182,
196,1.4809523238027813
210,1.505964694131875
224,1.4961457516423917
238,1.4764340442357151
252,1.4966707595121023
266,1.4879439426327565
280,1.5009545613217792
294,1.5075559986866276
308,1.502072083559708
322,1.4901404069948543
336,1.5057967141348008
350,1.499951171101398
364,1.4987460557730703
378,1.5138895845229503
392,1.5042980772882593
406,
420,
434,1.4933691532344329
448,1.5054113737388695
462,1.5097260994890696
476,1.5037431059085056
490,1.4969245885304248
504,1.4999746217213785
518,1.5078200795290841
532,1.51999678230527
546,
560,1.5080807758029537
574,1.5044892315880787
588,1.5005494744873438
602,1.4901376274390041
616,1.5055085089225657
630,1.4993833538644572
644,1.4993520241664398
658,1.4885850356886623
672,1.4994143348331042
686,1.5064903921553559
700,1.498646482301891
714,1.5009372796074676
728,1.4968021400549076
742,1.497479977041263
756,
770,
784,
798,1.4949034497778033
812,1.5026152669636765
826,1.5081675736102247
840,1.5114041825182807
854,1.4967687551409172
868,1.5082709692368752
882,1.498339205254441
896,1.5094675504389619
910,1.499718269306633
924,1.4933984296355607
938,1.4971283939400308
952,1.4873512245865774
966,1.5076289547271062
980,1.4938918183032381
994,1.509680844824647
1008,
1022,1.501524886383871
1036,1.4998491286820685
1050,1.4970195403035047
1064,1.488087079854883
1078,1.5024105917257478
1092,1.5014574853085234
